resonance_smis,H298_kcal,weights
COCC1N[C]1CCO,-5.579190915887773,1.0
CC1OC(C(C)O)[C]1O,-78.31459631039715,1.0
O=[C]C1OC2CC2C1O,-38.07321807737516,1.0
CC1CC=CC12C[CH]O2,30.786555418423454,1.0
[CH2]N1CC12C1C=CC2O1,118.78894843012085,1.0
C#CC1[CH]OC(=N)C1,76.19436050980667,1.0
C#CC12[CH]CC1N2CC,152.47108786876572,1.0
C#CC([C]=O)CC(C)=O,18.941299470679766,1.0
[CH2]C12OC3C(C)C1C32,74.61190508053404,1.0
CC1=CC2(O)[C]3OC1C32,60.8184625287872,1.0
C[C]1CC2N1C21COC1,85.22236129584633,1.0
[CH2]C12OC1C1OC2C1=O,17.990635898203898,1.0
CC1CO[C]1CC1CC1,28.23813281714661,1.0
CC1C=CC2OC[CH]C12,17.594008702672458,1.0
CC1OC1C[C]1CCO1,-3.517900531268726,1.0
CC1C=CCO[CH]C1O,-25.983758542313023,1.0
[CH2]C12CC1C=CCCO2,41.60718454858075,1.0
CC1([O])C=CC2OC21,17.463137583979496,1.0
CCC12C=CC(O)C1[N]2,42.99833564366676,1.0
CC(=O)CCCC[CH]O,-66.84429721166764,1.0
CC(CCO)[C]1CCO1,-39.4769635708672,1.0
CN1[CH]COC(=O)C=C1,-19.16928844183566,1.0
CC[C]1C(C)C2(C)CC12,55.717901377084246,1.0
[CH2]n1c(O)ccc1CO,-16.35138597803322,1.0
CC1=NC[CH]C2CC2O1,45.191495274499076,1.0
CC(=O)C12CNC1[CH]N2,65.49075397815825,1.0
C[CH]N1C2CCOCC21,31.917638517332396,1.0
[CH]1COCCN=CO1,0.11958670473032143,1.0
CC12CC[C](O)CC1C2,-1.917914314458297,1.0
C[C]1COCCC1O,-51.31159971112822,1.0
[CH2]OCCCCC(C)O,-65.83771632209019,1.0
CO[C]1C2NCC12OC,40.58278654146571,1.0
CCC12O[CH]C1C2(C)O,-4.973047140878451,1.0
OC1C[CH]OC12COC2,-52.579505399270936,1.0
[CH2]C1NC1C#CC(C)C,107.99430710927264,1.0
C[CH]OC(C)C(O)CC,-75.19405035063181,1.0
CCC(C)C1=NC[CH]O1,-2.569640297190894,1.0
[C]#CC(C)(C#N)C(C)O,106.10411645232546,1.0
[O]C1CCOC1=O,-68.18917078289995,1.0
C[CH]C1(O)C=CCC1O,-37.98643073845756,1.0
CC(C)C1[CH]NC1C#N,80.53707564487327,1.0
[O]CC1C2CC1C1NC21,87.53171137315333,1.0
CC12[CH]C(O)C1(O)C2O,-42.66182810927071,1.0
[CH2]N=C,55.748427859235335,1.0
CC1C2C([CH]O)C3C1C23,61.18540926697485,1.0
O[CH]CC1C(O)C2CC12,-11.077828178129462,1.0
[CH2]OCc1nnoc1N,40.556987120845406,1.0
[CH]1CC2CC=CC23CC13,89.91480394647742,1.0
[CH]1CCC2(C=CCO2)O1,-17.745254845971157,1.0
OC1[CH]OCC1C1CO1,-47.91134858409646,1.0
CO[CH]C1CC(C)CO1,-45.872960189646975,1.0
C#CC1[CH]OC1(C)CO,26.453259513374228,1.0
CC1(N2CC2)C[C](O)C1,41.36482489942489,1.0
[C]#CC(C)C(=O)C1CN1,127.2066520916365,1.0
[CH2]N1C2C=CC1C1CC12,112.16752454319028,1.0
OCC1OC2[CH]OCC21,-55.74870208821358,1.0
C[CH]OC1C(O)C1CC,-30.081329682664308,1.0
CC1NC12[CH]C(O)C2,43.96251026972093,1.0
COCC(=N)O[C](C)C,-39.02808993145182,1.0
N#CC1CC([O])(C=O)C1,24.19149723193454,1.0
C[C]1CC2(C)CC12,67.77099479835898,1.0
O=C1CC(O)C1[CH]O,-59.897419736930175,1.0
CC12C([O])C3OC1C2O3,-23.239502053689147,1.0
O=C1CNC1[C]1CO1,39.702325459470075,1.0
CC1CC(C)[C]1C1CC1,55.594581338140955,1.0
CC12[CH]C3OC3C1(C)C2,36.621628254517695,1.0
OCCN1[CH]C2(CO2)C1,15.511479400165797,1.0
CC(O)C#CC(O)[CH]O,-40.56194295880406,1.0
CO[C]1CC12COC2=O,-23.294317861771948,1.0
O=[C]C1COC1CC=O,-39.63652173703517,1.0
OC1C[CH]C2CCC2C1,-0.2766637517629313,1.0
O=CC1(C2CO2)C[CH]O1,-10.341619880121163,1.0
N#CC1C(O)[CH]C2NC21,62.447102794574036,1.0
C[CH]N1CC1(C)CO,10.941738379665356,1.0
C[C]1CCC(=NO)C1,28.65697548303832,1.0
CC([C]=O)CCCC=O,-46.21499072289906,1.0
C[C]1COC12CC2CO,-1.2618250762445682,1.0
C#CC1CC(O[C]=O)C1,34.681926971805275,1.0
C#CC(C=O)C(C)[C]=O,25.273633210148816,1.0
C[C]1CCC1CC(C)C,21.408588996102324,1.0
CC12[N]C3C(OC1=O)C32,24.541019467348402,1.0
CC=C1C=CC(=[N])C=C1,93.68805176009266,1.0
CC1[CH]N2CC12C1CO1,87.39060811656579,1.0
[CH2]C12OC1CC2(O)C=O,-22.80143834203179,1.0
[CH2]OC(C)C1(O)COC1,-63.92430163019138,1.0
C#CC1([CH]CC)CCO1,66.77635079431343,1.0
C[C]1C2C=CC=CC1C2,89.14484902722643,1.0
[CH2]C12C(C)OC1C2C,34.4670946861527,1.0
CC12OCC1C[C]2CO,-6.435504896128647,1.0
[CH]1COCC=CCOC1,-8.643578034836239,1.0
N#CC12[CH]OC(CC1)O2,10.456730051302484,1.0
OC1CC2OCO[C]12,-44.17567077086276,1.0
CCC([NH])C=O,6.30463371722579,1.0
CC(CC#N)C(=O)C[O],-6.170098119812407,1.0
[CH]1CCC12C1CC2O1,90.83493270163916,1.0
OCC12CC[CH]CC1O2,-30.02208753102493,1.0
C#CC12C[CH]C1C2,141.40129142841735,1.0
Nc1c[nH]c2c1O[CH]C2,59.87669179691576,1.0
CC12O[CH]C3C1C(O)C32,16.812932597890622,1.0
C#CC1CC1[CH]C1CO1,101.1175565222829,1.0
CCC[C]1CC2(O)CC12,27.61884356202596,1.0
CN1[CH]C2(O)C1C2(C)O,10.783050053386699,1.0
[CH]1C2OC=NC2C12CN2,88.52888284512883,1.0
OCC([CH]N1CC1)CO,-19.769407707560955,1.0
CN1CC1C(C)([NH])C#N,104.66096849420758,1.0
CC(=[N])c1cccc(C)c1,62.93584761030494,1.0
C#CO[C]=N,102.02647644089942,1.0
CCC1C[C](C)C1(C)O,-16.066399401756737,1.0
